ebene Platte
1      0
0.9618 0.0022
0.9408 0.0034
0.9237 0.0066
0.8534 0.0085
0.8170 0.0106
0.7776 0.0129
0.7355 0.0145
0.6911 0.0145
0.5975 0.0145
0.5    0.0145
0.4022 0.0145
0.3084 0.0145
0.222  0.0145
0.1463 0.0145
0.1133 0.0145
0.0841 0.0129
0.0589 0.0104
0.038  0.0083
0.0215 0.0067
0.0096 0.0054
0.0024 0.0043
0      0
0.0024 -0.0043
0.0096 -0.0054
0.0215 -0.0067
0.038  -0.0083
0.0589 -0.0104
0.0841 -0.0129
0.1133 -0.0145
0.1463 -0.0145
0.222  -0.0145
0.3084 -0.0145
0.4022 -0.0145
0.5    -0.0145
0.5975 -0.0145
0.6911 -0.0145
0.7355 -0.0145
0.7776 -0.0129
0.8170 -0.0106
0.8534 -0.0085
0.9237 -0.0066
0.9408 -0.0034
0.9618 -0.0022
1      0
